                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.78599,                0.66524,                  1.267,                0.88974,                 0.8834,                0.92443,                0.74057,                0.79148,                0.55813,                 1.3308,             0.00088969,             0.00088969,             0.00088969
                     67,                0.78548,                0.65668,                 1.2726,                0.92949,                0.90679,                0.93785,                0.75407,                0.79163,                0.49739,                  1.344,              0.0008864,              0.0008864,              0.0008864
                     68,                0.76456,                0.65495,                 1.2661,                0.91788,                0.92627,                0.95254,                0.75665,                0.80088,                0.49489,                 1.3565,             0.00088308,             0.00088308,             0.00088308
                     69,                0.81199,                0.69459,                 1.2792,                0.90619,                0.90009,                0.93401,                0.75707,                0.78833,                0.50472,                 1.3263,             0.00087971,             0.00087971,             0.00087971
                     70,                0.78407,                0.67028,                 1.2686,                  0.913,                0.90805,                0.93947,                0.75372,                 0.7978,                0.48332,                  1.353,              0.0008763,              0.0008763,              0.0008763
                     71,                0.76963,                0.66289,                 1.2667,                0.91442,                0.88423,                0.94451,                0.74319,                0.82222,                0.53573,                 1.3739,             0.00087286,             0.00087286,             0.00087286
                     72,                0.77252,                0.67267,                 1.2587,                0.88327,                0.88481,                0.92281,                 0.7385,                0.82275,                0.58438,                 1.3767,             0.00086937,             0.00086937,             0.00086937
                     73,                 0.7695,                 0.6703,                 1.2606,                0.88636,                0.92436,                0.94281,                0.75783,                0.81401,                0.52227,                 1.3706,             0.00086584,             0.00086584,             0.00086584
                     74,                0.77455,                 0.6556,                 1.2715,                0.91636,                 0.9462,                 0.9532,                0.76233,                0.79841,                0.47094,                 1.3389,             0.00086227,             0.00086227,             0.00086227
                     75,                0.77817,                0.68217,                 1.2645,                0.88955,                0.90455,                 0.9343,                0.75013,                 0.7824,                0.52794,                 1.3381,             0.00085866,             0.00085866,             0.00085866
                     76,                0.77151,                 0.6686,                 1.2637,                0.92456,                0.90736,                0.94814,                0.76729,                0.77855,                0.47557,                 1.3349,             0.00085502,             0.00085502,             0.00085502
                     77,                0.74661,                0.64044,                 1.2455,                0.92579,                0.91329,                0.94569,                0.74824,                0.83178,                0.48919,                 1.3733,             0.00085133,             0.00085133,             0.00085133
                     78,                 0.7611,                0.66613,                 1.2605,                0.91744,                0.91682,                0.94066,                0.75585,                0.78578,                0.51291,                 1.3365,             0.00084761,             0.00084761,             0.00084761
                     79,                0.76471,                0.67126,                 1.2607,                0.92921,                0.88537,                0.93302,                0.73846,                0.81855,                0.50103,                 1.3642,             0.00084385,             0.00084385,             0.00084385
                     80,                0.77888,                0.64892,                 1.2606,                0.92324,                0.89054,                0.93467,                0.75034,                0.78186,                0.48472,                 1.3297,             0.00084005,             0.00084005,             0.00084005
                     81,                0.76033,                0.63956,                 1.2523,                0.91713,                 0.9168,                0.94964,                0.76213,                0.78898,                0.48622,                 1.3382,             0.00083622,             0.00083622,             0.00083622
